item_group_id, id, title, description, availability, condition, price, link, image_link, brand, gender, color, size, age_group, shipping_weight
mens:tee:black:original, mens:tee:black:original:m, 50/50 Tee With Original Design (Black) M, Perfect 50/50 blend of cotton & polyester. Super-soft&comma; lightweight (3.8oz) & durable., in stock, new, 32 USD, https://www.loyaltofew.com/store/mens/tee/original/black, https://www.loyaltofew.com/images/products/mens/tee/MensTeeOriginalBlack.jpg, Loyal to Few®, unisex, Black, M, adult, 7
mens:tee:black:original, mens:tee:black:original:l, 50/50 Tee With Original Design (Black) L, Perfect 50/50 blend of cotton & polyester. Super-soft&comma; lightweight (3.8oz) & durable., in stock, new, 32 USD, https://www.loyaltofew.com/store/mens/tee/original/black, https://www.loyaltofew.com/images/products/mens/tee/MensTeeOriginalBlack.jpg, Loyal to Few®, unisex, Black, L, adult, 7
mens:tee:black:original, mens:tee:black:original:xl, 50/50 Tee With Original Design (Black) XL, Perfect 50/50 blend of cotton & polyester. Super-soft&comma; lightweight (3.8oz) & durable., in stock, new, 32 USD, https://www.loyaltofew.com/store/mens/tee/original/black, https://www.loyaltofew.com/images/products/mens/tee/MensTeeOriginalBlack.jpg, Loyal to Few®, unisex, Black, XL, adult, 7
mens:tee:black:original, mens:tee:black:original:xxl, 50/50 Tee With Original Design (Black) XXL, Perfect 50/50 blend of cotton & polyester. Super-soft&comma; lightweight (3.8oz) & durable., in stock, new, 32 USD, https://www.loyaltofew.com/store/mens/tee/original/black, https://www.loyaltofew.com/images/products/mens/tee/MensTeeOriginalBlack.jpg, Loyal to Few®, unisex, Black, XXL, adult, 7
mens:tee:black:original, mens:tee:black:original:xxxl, 50/50 Tee With Original Design (Black) XXXL, Perfect 50/50 blend of cotton & polyester. Super-soft&comma; lightweight (3.8oz) & durable., in stock, new, 32 USD, https://www.loyaltofew.com/store/mens/tee/original/black, https://www.loyaltofew.com/images/products/mens/tee/MensTeeOriginalBlack.jpg, Loyal to Few®, unisex, Black, XXXL, adult, 7
mens:tee:gray:original, mens:tee:gray:original:s, 50/50 Tee With Original Design (Gray) S, Perfect 50/50 blend of cotton & polyester. Super-soft&comma; lightweight (3.8oz) & durable., in stock, new, 32 USD, https://www.loyaltofew.com/store/mens/tee/original/gray, https://www.loyaltofew.com/images/products/mens/tee/MensTeeOriginalGray.jpg, Loyal to Few®, unisex, Gray, S, adult, 7
mens:tee:gray:original, mens:tee:gray:original:m, 50/50 Tee With Original Design (Gray) M, Perfect 50/50 blend of cotton & polyester. Super-soft&comma; lightweight (3.8oz) & durable., in stock, new, 32 USD, https://www.loyaltofew.com/store/mens/tee/original/gray, https://www.loyaltofew.com/images/products/mens/tee/MensTeeOriginalGray.jpg, Loyal to Few®, unisex, Gray, M, adult, 7
mens:tee:gray:original, mens:tee:gray:original:l, 50/50 Tee With Original Design (Gray) L, Perfect 50/50 blend of cotton & polyester. Super-soft&comma; lightweight (3.8oz) & durable., in stock, new, 32 USD, https://www.loyaltofew.com/store/mens/tee/original/gray, https://www.loyaltofew.com/images/products/mens/tee/MensTeeOriginalGray.jpg, Loyal to Few®, unisex, Gray, L, adult, 7
mens:tee:gray:original, mens:tee:gray:original:xl, 50/50 Tee With Original Design (Gray) XL, Perfect 50/50 blend of cotton & polyester. Super-soft&comma; lightweight (3.8oz) & durable., in stock, new, 32 USD, https://www.loyaltofew.com/store/mens/tee/original/gray, https://www.loyaltofew.com/images/products/mens/tee/MensTeeOriginalGray.jpg, Loyal to Few®, unisex, Gray, XL, adult, 7
mens:tee:gray:original, mens:tee:gray:original:xxl, 50/50 Tee With Original Design (Gray) XXL, Perfect 50/50 blend of cotton & polyester. Super-soft&comma; lightweight (3.8oz) & durable., in stock, new, 32 USD, https://www.loyaltofew.com/store/mens/tee/original/gray, https://www.loyaltofew.com/images/products/mens/tee/MensTeeOriginalGray.jpg, Loyal to Few®, unisex, Gray, XXL, adult, 7
